opening_eco,opening_name,avg_rating_delta,w_win_rate,b_win_rate,n_games_played,avg_white_rating,avg_black_rating,cluster
A00,Gedult's Opening,137.46153846153845,38.46153846153846,61.53846153846154,13,1476.6153846153843,1647.923076923077,4
A00,Grob Opening,156.9375,31.25,68.75,16,1402.25,1451.3125,4
A00,Hungarian Opening,96.97321428571428,49.10714285714285,50.892857142857146,112,1471.0267857142858,1458.803571428571,1
A00,Hungarian Opening: Indian Defense,53.18181818181818,27.27272727272728,72.72727272727273,11,1607.3636363636365,1616.1818181818182,0
A00,Kadas Opening,100.8,33.333333333333336,66.66666666666667,15,1383.5333333333333,1444.7333333333331,4
A00,Mieses Opening,121.734375,42.1875,57.8125,64,1417.0,1575.078125,5
A00,Mieses Opening: Reversed Rat,74.63636363636364,31.818181818181817,68.18181818181819,22,1431.6363636363635,1527.2727272727273,4
A00,Van Geet Opening,173.7826086956522,39.130434782608695,60.869565217391305,23,1423.2173913043478,1535.695652173913,4
A00,Van't Kruijs Opening,153.0,32.88135593220339,67.11864406779661,295,1349.04406779661,1427.9084745762711,1
A00,Ware Opening,289.5263157894737,36.8421052631579,63.1578947368421,19,1295.7368421052631,1317.2631578947369,4
A01,Nimzo-Larsen Attack: Classical Variation,144.95833333333334,50.0,50.0,24,1686.375,1811.25,3
A01,Nimzo-Larsen Attack: Modern Variation #3,7.6923076923076925,38.46153846153846,61.53846153846154,13,1574.5384615384614,1595.4615384615386,2
A01,Nimzo-Larsen Attack: Modern Variation #4,14.26923076923077,34.61538461538461,65.38461538461539,26,1690.8076923076924,1704.076923076923,0
A02,Bird Opening,111.1509433962264,41.50943396226416,58.490566037735846,53,1521.5094339622642,1578.3962264150944,5
A03,Bird Opening: Dutch Variation,63.77272727272727,43.18181818181818,56.81818181818182,44,1600.0227272727273,1627.6136363636365,2
A04,Reti Opening #2,148.5,50.0,50.0,12,1660.0,1753.6666666666667,3
A04,Zukertort Opening: Black Mustang Defense,160.6086956521739,43.47826086956522,56.52173913043478,23,1546.1739130434785,1656.695652173913,3
A16,English Opening: Anglo-Indian Defense |  Queen's Knight Variation,29.727272727272727,36.36363636363637,63.63636363636363,11,1678.8181818181818,1706.3636363636365,2
A22,English Opening: Carls-Bremen System,88.66666666666667,41.66666666666666,58.333333333333336,12,1780.0,1789.1666666666667,3
A40,English Defense #2,49.39473684210526,47.36842105263158,52.63157894736842,38,1578.842105263158,1530.5,2
A40,Englund Gambit Declined |  Reversed French,80.25925925925925,44.44444444444444,55.55555555555556,27,1429.2962962962963,1471.111111111111,5
A40,Mikenas Defense,62.17391304347826,47.82608695652174,52.17391304347826,23,1450.7391304347825,1329.5217391304348,5
A40,Modern Defense,85.8225806451613,40.32258064516129,59.67741935483871,62,1641.1290322580646,1637.5645161290322,2
A41,Old Indian Defense,97.75,50.0,50.0,16,1647.5,1514.125,2
A43,Benoni Defense: Benoni Gambit Accepted,52.642857142857146,50.0,50.0,14,1615.2142857142858,1601.857142857143,2
A43,Old Benoni Defense,119.75,41.66666666666666,58.333333333333336,24,1610.75,1640.0833333333333,3
A45,Indian Game,101.4609375,39.84375,60.15625,128,1693.6953125,1749.09375,1
A45,Indian Game: Tartakower Attack,12.3,30.0,70.0,10,1675.4,1645.7,0
A46,Indian Game: London System,105.08333333333331,33.333333333333336,66.66666666666667,12,1805.25,1762.8333333333333,0
A46,Torre Attack #2,82.66666666666667,33.333333333333336,66.66666666666667,12,1592.25,1606.25,4
A46,Yusupov-Rubinstein System,-57.05882352941177,47.05882352941177,52.94117647058823,17,1633.0,1750.529411764706,2
A48,London System,95.35714285714286,28.571428571428573,71.42857142857143,14,1778.571428571429,1874.928571428572,0
A49,East Indian Defense,17.38095238095238,47.61904761904762,52.38095238095238,21,1691.857142857143,1708.3809523809523,2
A52,Budapest Defense: Adler Variation,-40.875,18.75,81.25,16,1736.0625,1763.4375,0
B00,Caro-Kann Defense: Hillbilly Attack,109.58823529411764,50.0,50.0,34,1509.7058823529412,1510.1176470588234,5
B00,Nimzowitsch Defense |  Declined Variation,34.07692307692308,46.15384615384615,53.84615384615385,13,1669.3076923076924,1545.8461538461538,2
B00,Owen Defense,87.04587155963303,47.70642201834863,52.293577981651374,109,1595.798165137615,1557.1926605504586,1
B01,Scandinavian Defense,107.2443181818182,45.45454545454545,54.54545454545455,176,1360.875,1387.346590909091,1
B01,Scandinavian Defense: Blackburne Gambit,53.72727272727273,36.36363636363637,63.63636363636363,11,1467.909090909091,1497.4545454545455,4
B01,Scandinavian Defense: Icelandic-Palme Gambit,42.1875,12.5,87.5,16,1816.75,1880.4375,0
B01,Scandinavian Defense: Modern Variation #2,81.3695652173913,47.82608695652174,52.17391304347826,46,1695.4782608695652,1698.8478260869565,3
B01,Scandinavian Defense: Panov Transfer,-5.909090909090909,0.0,100.0,11,1771.0,1765.090909090909,0
B02,Alekhine Defense,173.06896551724137,48.27586206896552,51.72413793103448,29,1403.3103448275865,1315.896551724138,5
B02,Alekhine Defense: Maroczy Variation,130.21428571428572,50.0,50.0,14,1428.7857142857142,1493.571428571429,5
B02,Alekhine Defense: Normal Variation,182.1818181818182,45.45454545454545,54.54545454545455,11,1463.6363636363635,1435.6363636363635,5
B02,Alekhine Defense: Scandinavian Variation,45.04347826086956,39.130434782608695,60.869565217391305,23,1538.391304347826,1537.0,2
B07,King's Pawn Game: Maroczy Defense,78.88,48.0,52.0,25,1396.96,1436.48,5
B07,Pirc Defense,75.42857142857143,35.714285714285715,64.28571428571429,14,1640.7857142857142,1659.357142857143,2
B08,Pirc Defense: Classical Variation,146.5,33.333333333333336,66.66666666666667,24,1707.3333333333333,1752.5833333333333,3
B12,Caro-Kann Defense: Advance Variation,9.058823529411764,44.11764705882353,55.88235294117647,34,1640.3235294117646,1682.6764705882354,2
B12,Caro-Kann Defense: Advance Variation |  Short Variation,67.14285714285714,47.61904761904762,52.38095238095238,21,1680.857142857143,1681.047619047619,2
B13,Caro-Kann Defense: Exchange Variation,99.88888888888889,48.888888888888886,51.11111111111112,45,1754.2444444444443,1759.2,3
B18,Caro-Kann Defense: Classical Variation,33.31818181818182,45.45454545454545,54.54545454545455,22,1678.6818181818182,1725.4545454545455,2
B20,Sicilian Defense,110.84210526315788,35.08771929824562,64.91228070175438,114,1411.4649122807018,1503.2894736842106,1
B20,Sicilian Defense: Bowdler Attack,72.5635593220339,41.10169491525424,58.898305084745765,236,1566.427966101695,1621.7203389830509,1
B20,Sicilian Defense: Staunton-Cochrane Variation,105.4047619047619,45.23809523809524,54.76190476190476,42,1484.2857142857142,1590.071428571429,5
B21,Sicilian Defense: McDonnell Attack,51.310344827586206,50.0,50.0,58,1728.7068965517242,1738.4310344827586,3
B22,Sicilian Defense: Alapin Variation,62.03448275862069,36.206896551724135,63.793103448275865,58,1669.9310344827586,1717.0689655172414,2
B23,Sicilian Defense: Closed,20.529411764705884,35.294117647058826,64.70588235294117,17,1722.235294117647,1748.0588235294117,0
B25,Sicilian Defense: Closed Variation |  Traditional,51.642857142857146,42.85714285714285,57.142857142857146,42,1538.2619047619048,1651.857142857143,2
B30,Sicilian Defense: Old Sicilian,62.85820895522388,38.059701492537314,61.940298507462686,134,1654.365671641791,1688.7761194029852,1
B32,Sicilian Defense: Loewenthal Variation,139.55172413793105,48.27586206896552,51.72413793103448,29,1634.0689655172414,1665.6896551724135,3
B32,Sicilian Defense: Open #3,14.533333333333331,50.0,50.0,30,1674.1666666666667,1685.9,2
B36,Sicilian Defense: Accelerated Dragon,79.9090909090909,27.27272727272728,72.72727272727273,11,1728.8181818181818,1746.3636363636365,0
B40,Sicilian Defense: Delayed Alapin Variation,-30.285714285714285,42.85714285714285,57.142857142857146,14,1718.7142857142858,1814.428571428572,2
B40,Sicilian Defense: French Variation,127.85416666666669,39.583333333333336,60.41666666666666,48,1654.375,1750.1041666666667,3
B43,Sicilian Defense: Kan Variation |  Knight Variation,167.06666666666666,40.0,60.0,15,1798.2666666666669,1866.5333333333333,3
B44,Sicilian Defense: Paulsen Variation,49.6,20.0,80.0,10,1680.2,1722.2,0
B46,Sicilian Defense: Paulsen Variation,83.53846153846153,23.07692307692308,76.92307692307692,13,1630.6153846153843,1765.3846153846157,0
B50,Sicilian Defense: Delayed Alapin,15.40625,43.75,56.25,32,1846.65625,1814.9375,3
B52,Sicilian Defense: Canal Attack |  Main Line,29.72,40.0,60.0,25,1617.24,1645.12,2
B54,Sicilian Defense,125.16666666666669,50.0,50.0,12,1515.9166666666667,1409.0833333333333,5
B56,Sicilian Defense: Classical Variation,52.5,41.66666666666666,58.333333333333336,12,1647.25,1771.5833333333333,2
B57,Sicilian Defense: Modern Variations |  Main Line,60.28,28.0,72.0,25,1589.72,1689.04,0
B90,Sicilian Defense: Najdorf Variation,105.3846153846154,50.0,50.0,26,1756.2307692307693,1815.5384615384608,3
B90,Sicilian Defense: Najdorf |  Lipnitsky Attack,97.65384615384616,42.30769230769231,57.69230769230769,26,1720.423076923077,1798.6923076923076,3
C00,French Defense #2,88.69662921348315,48.31460674157304,51.68539325842696,89,1482.0898876404494,1476.9213483146068,1
C00,French Defense: King's Indian Attack,106.8148148148148,33.333333333333336,66.66666666666667,27,1516.962962962963,1570.2962962962963,4
C00,French Defense: La Bourdonnais Variation,25.72222222222222,47.22222222222222,52.77777777777778,36,1649.138888888889,1633.0833333333333,2
C00,French Defense: Queen's Knight,41.45454545454545,42.42424242424242,57.57575757575758,33,1449.5151515151515,1493.3333333333333,5
C00,French Defense: Schlechter Variation,52.3,40.0,60.0,10,1680.8,1711.1,2
C00,French Defense: Steinitz Attack,95.1304347826087,41.30434782608695,58.69565217391305,46,1526.4347826086955,1538.7826086956522,5
C00,French Defense: Two Knights Variation,37.391304347826086,43.47826086956522,56.52173913043478,23,1543.2173913043478,1606.8695652173913,2
C02,French Defense: Advance Variation,84.08,40.0,60.0,25,1719.52,1809.52,3
C02,French Defense: Advance Variation |  Euwe Variation,164.3684210526316,47.36842105263158,52.63157894736842,19,1758.0526315789473,1786.842105263158,3
C02,French Defense: Advance Variation |  Nimzowitsch System,29.33333333333333,33.333333333333336,66.66666666666667,30,1532.5,1587.8333333333333,4
C10,French Defense: Marshall Variation,101.2,33.333333333333336,66.66666666666667,15,1573.9333333333334,1637.4,4
C11,French Defense: Classical Variation |  Steinitz Variation,62.1,20.0,80.0,10,1621.6,1731.5,0
C20,English Opening: The Whale,32.76470588235294,44.11764705882353,55.88235294117647,34,1437.2941176470588,1458.8235294117646,5
C20,King's Pawn Game,51.77272727272727,29.545454545454547,70.45454545454545,44,1366.4772727272727,1382.7954545454545,4
C20,King's Pawn Game: King's Head Opening #2,93.27777777777776,38.888888888888886,61.11111111111112,18,1338.888888888889,1357.8333333333333,5
C20,King's Pawn Game: Macleod Attack,39.69565217391305,39.130434782608695,60.869565217391305,23,1389.0,1423.1304347826087,5
C20,King's Pawn Game: Mengarini's Opening,242.66666666666663,33.333333333333336,66.66666666666667,12,1509.8333333333333,1742.6666666666667,4
C20,King's Pawn Game: Napoleon Attack,32.13636363636363,50.0,50.0,44,1424.2272727272727,1408.5,5
C20,King's Pawn Game: Wayward Queen Attack,108.18461538461538,48.46153846153846,51.53846153846154,130,1327.4615384615386,1341.6153846153843,1
C20,Portuguese Opening,45.94117647058823,47.05882352941177,52.94117647058823,17,1396.0588235294117,1432.0,5
C21,Center Game,36.5,25.0,75.0,12,1311.4166666666667,1396.75,4
C21,Danish Gambit,64.57142857142857,42.85714285714285,57.142857142857146,21,1582.095238095238,1616.4761904761904,2
C22,Center Game: Normal Variation,123.8,32.5,67.5,40,1432.15,1489.35,4
C22,Center Game: Paulsen Attack Variation,-59.46153846153846,23.07692307692308,76.92307692307692,13,1607.7692307692307,1489.8461538461538,0
C24,Bishop's Opening: Ponziani Gambit,-12.2,50.0,50.0,10,1619.1,1499.9,2
