opening_eco,opening_name,avg_rating_delta,w_win_rate,b_win_rate,n_games_played,avg_white_rating,avg_black_rating
A00,Anderssen Opening,145.47368421052633,84.21052631578948,15.789473684210526,19,1662.1052631578948,1512.3157894736842
A00,Barnes Opening: Walkerling,-209.0,100.0,0.0,1,1348.0,1557.0
A00,Clemenz Opening,169.28571428571428,57.142857142857146,42.857142857142854,7,1581.4285714285713,1748.4285714285713
A00,Crab Opening,299.3333333333333,0.0,100.0,3,1264.0,1563.3333333333333
A00,Creepy Crawly Formation: Classical Defense,3.5,0.0,100.0,2,1463.0,1466.5
A00,Gedult's Opening,137.46153846153845,38.46153846153846,61.53846153846154,13,1476.6153846153845,1647.923076923077
A00,Global Opening,-2.0,100.0,0.0,1,1462.0,1464.0
A00,Grob Opening,156.9375,31.25,68.75,16,1402.25,1451.3125
A00,Grob Opening: Grob Gambit,-94.0,0.0,100.0,2,1775.0,1681.0
A00,Grob Opening: Grob Gambit |  Fritz Gambit,25.0,50.0,50.0,2,1992.5,2081.5
A00,Grob Opening: Spike Attack,367.0,0.0,100.0,1,1964.0,2331.0
A00,Grob Opening: Spike |  Hurst Attack,22.0,100.0,0.0,2,1478.5,1456.5
A00,Hungarian Opening,96.97321428571429,49.107142857142854,50.892857142857146,112,1471.0267857142858,1458.8035714285713
A00,Hungarian Opening: Buecker Gambit,60.0,0.0,100.0,1,1576.0,1636.0
A00,Hungarian Opening: Catalan Formation,80.0,100.0,0.0,2,1650.5,1570.5
A00,Hungarian Opening: Indian Defense,53.18181818181818,27.272727272727273,72.72727272727273,11,1607.3636363636363,1616.1818181818182
A00,Hungarian Opening: Reversed Alekhine,-17.5,50.0,50.0,2,1317.5,1444.0
A00,Hungarian Opening: Reversed Modern Defense,322.0,0.0,100.0,2,1385.0,1707.0
A00,Hungarian Opening: Sicilian Invitation,306.0,50.0,50.0,2,1425.5,1612.5
A00,Hungarian Opening: Slav Formation,275.85714285714283,0.0,100.0,7,1507.0,1782.857142857143
A00,Hungarian Opening: Symmetrical Variation,32.285714285714285,57.142857142857146,42.857142857142854,7,1640.857142857143,1435.142857142857
A00,Kadas Opening,100.8,33.333333333333336,66.66666666666667,15,1383.5333333333333,1444.7333333333333
A00,Mieses Opening,121.734375,42.1875,57.8125,64,1417.0,1575.078125
